Prompts,Completion,Tags
"""How do I pair watch with my phone?""","""1. Click on 'Settings' on the bottom right of the CoCo app. 
2. Press on the red 'Add Device' button. 
3. This will open a bluetooth connection screen, please select the appropriate watch model (CoCo BT1, CoCo WIFI Watch, Fitbit). 
4. The CoCo app will automatically search and connect to your smartwatch.""","[""pair"", ""connect"", ""watch"", ""smartwatch"", ""phone"", ""smartphone""]"
"""What is the difference between free version and premium subscription?""","""The Premium Subscription includes additional features such as video calling, unlimited contact list, location sharing, and irregularity detection which provides alerts to your Emergency Care Team (ECT) contacts at the first sign of trouble with your health monitoring.

You can start a FREE 21 day trial on us to experiece premium services above, after the 21 days you may continue your subscription for $19.80 a month or 66 cents a day.""","[""free version"", ""premium version"", ""premium"", ""subscription""]"
"""How do I add a contact on CoCo App?""","""1. Click on 'Settings' on the bottom right of the CoCo app.
2. Click on the 'Contacts' tab in the middle of the screen.
3. Click on the '+' on the top right corner (the default free version only allows one contact. If you prefer to add multiple contacts please consider to upgrading to the premium subscription service)
4. Fill out your contact's information (phone number, emergency contact [yes or no] relationship, viewing permissions) and send the invitation for them to join your Emergency Care Team (ECT).
5. The invited contact must also have the CoCo app installed, they will receive the invitation on the 'Carees' page. They should click 'Accept', afterwards they will be able to receive messages and emergency calls from you.""","[""add"", ""contact"", ""CoCo App""]"
"""How could I receive SMS on CoCo smartwatch?""","""1. For iPhone open 'Settings' on phone, find 'Notifications' then click 'Show Previews', choose 'Always' or 'Unlock'. 
2. Go back to the 'Settings' page and find 'Messages' then click 'Allow Notifications' and select all mode of ALERTS
3. Go back to 'Settings' once more and click 'Bluetooth', please fine the 'CoCo BT1' or the respective model you connected and click the '!' on the right side, turn on 'Share System Notifications""","[""receive SMS"", ""SMS"", ""add SMS"", ""CoCo smartwatch"", ""watch""]"
"""How to calling ECT?""","""ECT is your Emergency Care Team who are the contacts you connected to the app.
1. On your watch, press 'Call ECT' or long press the watch crown down for 3 seconds.
2. CoCo smart watch will automatically call the contact you added.
3. Your contact will be sent a 'ECT' video call where the contact can check wearer's health data and location for quick response.""","[""call"", ""calling"", ""call ECT"", ""ECT""]"
"""How to set up BT2-Z watch?""","""Thank you for purchasing the CoCo Smartwatch BT2-Z. There should be a ""Get Started"" video listed in the user manual sent to you. But here is some initial steps to get started with your new smart watch!""
1. Charge Your Watch: Connect the charging cable to the smartwatch and plug it into a power source. Allow the watch to charge fully before first use.
2. Pair Your Device: Open the CoCo app and follow the first-time user steps to set up a basic profile, add your emergency contacts, and pair your BT2-Z with your smartphone. This will sync your language and time format from your smartphone to your device.
3. Explore Features: Once paired, take some time to explore the various features of your BT2-Z, such as health monitoring, Emergency Care Team (ECT), Medication Reminder, and customizable watch faces.""","[""set up"", ""BT2-Z"", ""bt2z"", ""watch"", ""smartwatch"", ""coco watch""]"
"""How to set up BT2 watch?""","""Thank you for purchasing the CoCo Smartwatch BT2. There should be a ""Get Started"" video listed in the user manual sent to you. But here is some initial steps to get started with your new smart watch!""
1. Charge Your Watch: Connect the charging cable to the smartwatch and plug it into a power source. Allow the watch to charge fully before first use.
2. Pair Your Device: Open the CoCo app and follow the first-time user steps to set up a basic profile, add your emergency contacts, and pair your BT2-Z with your smartphone. This will sync your language and time format from your smartphone to your device.
3. Explore Features: Once paired, take some time to explore the various features of your BT2-Z, such as health monitoring, Emergency Care Team (ECT), Medication Reminder, and customizable watch faces.""","[""set up"", ""BT2, ""bt2"", ""watch"", ""smartwatch"", ""coco watch""]"
"""How to set up BT1 watch?""","""Thank you for purchasing the CoCo Smartwatch BT1. There should be a ""Get Started"" video listed in the user manual sent to you. But here is some initial steps to get started with your new smart watch!""
1. Charge Your Watch: Connect the charging cable to the smartwatch and plug it into a power source. Allow the watch to charge fully before first use.
2. Pair Your Device: Open the CoCo app and follow the first-time user steps to set up a basic profile, add your emergency contacts, and pair your BT2-Z with your smartphone. This will sync your language and time format from your smartphone to your device.
3. Explore Features: Once paired, take some time to explore the various features of your BT2-Z, such as health monitoring, Emergency Care Team (ECT), Medication Reminder, and customizable watch faces.""","[""set up"", ""BT1"", ""bt1"", ""watch"", ""smartwatch"", ""coco watch""]"
"""How to update CoCo app?""","""For the CoCo App, if there is a critical update, we will prompt you to update it when you access the app. Alternatively, you can check for updates in the App Store. To check for updates on your smartwatch, follow these steps:
1. Log in to the CoCo App. 
2. Navigate to ""Settings."" 
3. If an update is available, a red dot with ""new"" will appear next to your smartwatch icon. 
4. Click on it, and the update will start. 
5. Follow the on-screen instructions to complete the update.""","[""update"", ""coco app""]"
"""How do I manage my medication?""","""For medication management, please follow these steps. After you are done with adding, deleting, or modifying medications, please allow 10 minutes for the changes to sync with your smartwatch:

1. Make sure that your smartwatch is connected to your smartphone. If not, it will take longer for your medication data to sync with your smartwatch.
2. Navigate to 'Settings' on the CoCo app.
3. Click the 'Medication' button, which is the middle purple button under your smartwatch row.
4. On the 'Medications' detail page:
- 'Delete': Click the edit icon at the top right after the ""Medications"" header. You will see a minus '-' sign next to the medications. Click it to delete a medication, then click the check mark to save the changes.
- 'Change': Click the medication row itself to edit each item. Please make sure to click 'Done' after finishing the changes.
- 'Add': Click the plus '+' sign and follow the on-screen instructions.""","[""manage"", ""management"", ""add medicine"", ""medicine"", ""medication""]"
"""How do I find phone and find device for BT2?""","""On the smartwatch is a feature for 'Find phone' and there is an equivalent 'Find Device/Watch' feature on your phone.
For 'Find Phone', please double-check the following:
1. Ensure your phone is not on silent mode. this is the sliding button on the top left of an iPhone. If you see a red mark, this means your phone is on silent mode.
2. Check if your smartwatch shows as connected
3. On your smartwatch's screen, swipe moving your finger from left to right. This will bring you to a settings page, swipe down to find 'Functions'. Click on it and then click 'Find Phone' Your phone should make a sound.

For 'Find Device/Watch' these steps work in the opposite direction. The first two steps are the same.
3. Go to the CoCo app on your phone, navigate to 'Settings', and click 'Find Device.' Your CoCo watch should make a sound.""","[""find phone"", ""find watch"", ""find device"", ""search""]"
"""How to turn off phone call?""","""If you experience an accidental incoming phone call, you can turn it off with the following steps:
1. Turn on your watch face by either lifting your arm to light it up or pressing down on the crown button.
2. Swipe towards yourself if you wear it on your left arm, or in the opposite direction if you wear it on your right arm.
3. Click the 'phone' icon
4. In the phone settings, swipe all the way down until you see 'Switch'. If it is on, turn it off""

This will prevent any phone calls from coming through on your watch.","[""accident call"", ""turn off call"", ""phone call"", ""call on watch""]"
"""How does my contact know they are invited?""","""When you add a contact on the CoCo App, CoCo will send a SMS (text) invitation to that contact's phone number and instructions on how they can help you by prompting them to download the app. If that contact is alreay a CoCo App user, they will get the invitation as a notification on their CoCo app as well.""","[""contact invite"", ""invitation"", ""contact""]"
"""How do I know fall detection is on?""","""Fall detection is disabled by default. You need to manually enable it using the following steps:
1. Ensure that your CoCo watch is paired with your smartphone and connected.
2. Navigate to 'Settings' on the CoCo app
3. Click on 'Fall Detection' to go to its configuration page
4. Activate it
This will activate the feature on your smartwatch.
NOTE: Please be aware that currently, fall detection only works for serious falls to avoid false alarms. SemCorel is planning to add options to adjust the sensitivity settings on the future""","[""Fall detection"", ""on"", ""activation', ""activate']"
"""What is fall detection?""","""When your smartwatch detects a fall, it will start a 20-second countdown. If the countdown is not cancelled before it reaches 0, it will send an SMS (text) and initiate a video call (through push notification, so notification permissions must be granted to the CoCo app on the ECT contact's device) with your added contacts.""","[""what"", ""fall detection""]"
"""How do I change my medical conditions?""","""To update your medical conditions, please follow these steps:
1. Navigate to 'Settings' on the CoCo app
2. Click on 'Profile'
3. Tap on 'Medical Conditions', this will take you to a page where you can add, delete, and edit your conditions""","[""change"", ""medical conditions"", ""conditions"", ""medical""]"
"""How to disable phone call to smart watch""","""To stop the phone ring on your watch, please follow these steps:
1. On the watch face, swipe down.
2. You will see 4 icons, click on the phone icon.
3. Disable ""BT switch""
This will prevent your smartwatch from ringing when your phone does""","[""disable"", ""phone call"", ""call"", ""watch"", ""smart watch"", ""smartwatch"", ""ring""]"
"""How to sync phone's contact to BT2 on iPhone?""","""To get your contacts into your watch, please follow these steps:
1. Go to your iPhone's settings.
2. Click on 'Bluetooth'.
3. Click on the 'i' next to CoCo BT2 (ID-xxx) or your respective CoCo device model
4. Click 'Sync Contacts'. You can also choose to sync only your favorites or recent contacts to your smartwatch.""","[""sync,"" syncronize"", ""add"", ""contacts"", ""BT2"", ""iPhone""]"
"""Whats the difference between phone contacts and ECT contacts?""","""Sorry for the confusion regarding 'Contacts' on the smartwatch and ECT (Emergency Contact Team). On the smartwatch, 'Contacts' refers to your phone's contacts. You can sync your phone's contacts to the smartwatch through your phone's settings. ECT contact is added through the CoCo app and will message and call an assigned individual during an emergency."" ","[""difference"", ""phone contacts"", ""ECT contacts""]"
"""How to call ECT?""","""Manual calling: The customer can initiate an ECT call by pressing the ECT Call button on the watch face for 3 seconds, pressing the ECT button on the side of the smartwatch for 3 seconds, or via the CoCo app in the emergency tab.

Automatic calling: CoCo will automatically initiate an ECT call when it detects an emergency such as a call (if the call request is not canceled after a 20-second countdown), a health emegency (for premium customers only), or being out of a designated safe zone for too long (for premium customers only).""","[""call"", ""calling"", ""call ECT"", ""ECT"", ""ECT call initiation"", ""initiate""]"
"""How to cancel account?""","""To cancel your subscription, please log into you account at the following link and proceed with the cancellation:

https://www.semcorel.com/account""","[""cancel"", ""cancel account"", ""account"", ""subscription"", ""cancel subscription""]"
